Date,Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Retail/Personal_Service,Recreation_Facilities,Theatres,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
2020-03-10 - 2020-03-16,0,0,0,0,0,0,0,0,,,,,,0.115384615,0,0,0.727272727,0,0,0,0,0,0,1,1,,,,,,
2020-03-17 - 2020-03-23,0.002452483,0.000188041,0,0,0.00197336,0.001608108,0.059009484,0.008608426,,,,,,0.115384615,0.666666667,1,0.727272727,1,0,1,1,0,0,1,1,,,,,,
2020-03-24 - 2020-03-30,0.024218271,0.002256487,0.010869565,0.014563107,0.003453379,0.006432431,0.141201265,0.086521977,,,,,,0.115384615,0.666666667,1,0.727272727,1,0,1,1,0,0.5,1,1,,,,,,
2020-03-31 - 2020-04-06,0.032188841,0.011282437,0.02173913,0.097087379,0.009866798,0.017763982,0.153846154,0.121393398,,,,,,0.873626373,1,1,1,1,1,1,1,0,0.5,0.142857143,0.142857143,,,,,,
2020-04-07 - 2020-04-13,0.005824647,0.015795412,0.010869565,0.087378641,0.014306857,0.010976271,0.057955743,0.056830202,,,,,,1,1,1,1,1,1,1,1,0,0.5,0,0,,,,,,
2020-04-14 - 2020-04-20,0.003372164,0.010718315,0.02173913,0.075242718,0.011840158,0.005160904,0.029504742,0.027977385,,,,,,1,1,1,1,1,1,1,1,0,0.5,0,0,,,,,,
2020-04-21 - 2020-04-27,0.002759044,0.004701015,0,0.046116505,0.013320178,0.002318667,0.024236038,0.044865949,,,,,,1,1,1,1,1,1,1,1,0,0.5,0,0,,,,,,
2020-04-28 - 2020-05-01,0.001737176,0.004387614,0,0.011326861,0.01611577,0.001919757,0.018616087,0.057450301,,,,,,1,1,1,1,1,1,1,1,0,0.5,0,0,,,,,,
2020-09-01 - 2020-09-07,0.032188841,0.040240692,0.02173913,0.029126214,0.027627035,0.024832177,0.083245522,0.314134598,0,0,0,0,0,0.192307692,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.081761006,0.015708181,,,,,,
2020-09-08 - 2020-09-14,0.034334764,0.023505077,0,0.046116505,0.027627035,0.019446886,0.084299262,0.254787525,0,0,0,0,0,0.192307692,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.081761006,0.015708181,,,,,,
2020-09-15 - 2020-09-21,0.049049663,0.022940955,0.032608696,0.02184466,0.018746917,0.022831392,0.113804004,0.289549517,0,0,0,0,0,0.192307692,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.081761006,0.015708181,,,,,,
2020-09-22 - 2020-09-28,0.098405886,0.027265889,0.010869565,0.089805825,0.018746917,0.038987266,0.155953635,0.436622287,0,0,0,0,0,0.192307692,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.081761006,0.015708181,,,,,,
2020-09-29 - 2020-10-05,0.085223789,0.025761564,0.043478261,0.13592233,0.039960533,0.057461807,0.14857745,0.409958052,0,0,0,0,0,0.178571429,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.0976664,0.023761254,,,,,,
2020-10-06 - 2020-10-12,0.173819742,0.033283189,0.130434783,0.109223301,0.063640849,0.091493857,0.211801897,0.585518877,0,0,0,0,0,0.173076923,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.104028557,0.026982483,,,,,,
2020-10-13 - 2020-10-19,0.215205395,0.051523129,0.076086957,0.067961165,0.063147509,0.150376783,0.328767123,0.494948021,0,0,0,0,0,0.173076923,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.104028557,0.026982483,,,,,,
2020-10-20 - 2020-10-26,0.353770693,0.090635577,0.173913044,0.13592233,0.181549087,0.215486453,0.455216017,0.494400875,0,0,0,0,0,0.173076923,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.104028557,0.026982483,,,,,,
2020-10-27 - 2020-11-02,0.552115267,0.12185032,0.369565217,0.283980582,0.327084361,0.329606014,0.611169652,0.732372789,0,0,0,0,0,0.200549451,0.333333333,0.333333333,0.818181818,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.105849785,0.022306909,,,,,,
2020-11-03 - 2020-11-09,0.737584304,0.148364047,0.467391304,0.381067961,0.50123335,0.503805232,0.66174921,0.837132957,0,0,0,0,0.5,0.269230769,0.666666667,0.666666667,0.909090909,0.666666667,0.666666667,0.666666667,1,1,0.5,0.110402856,0.010617972,,,,,,
2020-11-10 - 2020-11-16,0.862354384,0.218315156,0.641304348,0.652912621,0.634435126,0.721385965,0.874604847,0.816268466,0,0,0,0,1,0.269230769,1,1,1,1,1,1,1,1,0.5,0.110402856,0.010617972,,,,,,
2020-11-17 - 2020-11-23,0.891477621,0.293343362,0.782608696,0.766990291,0.787370498,0.888610483,0.992623815,0.752544228,0,0,0,0,1,0.269230769,1,1,1,1,1,1,1,1,0.5,0.110402856,0.010617972,,,,,,
2020-11-24 - 2020-11-30,0.759656652,0.367619406,0.956521739,0.803398058,0.951159349,1,0.98630137,0.648987781,0,0,0,0,1,0.269230769,1,1,1,1,1,1,1,1,0.5,0.110402856,0.010617972,,,,,,
2020-12-01 - 2020-12-07,0.698651134,1,1,0.849514563,1,0.913835337,0.988408851,0.584534014,2.25E-05,0,0,0,1,0.423076923,1,1,1,1,1,1,1,1,0.5,0.1109128,0.026209472,,,,,,
2020-12-08 - 2020-12-14,0.653586756,0.380594208,0.989130435,0.733009709,0.885051801,0.609211092,0.991570074,0.522560642,2.25E-05,0,0,0,1,0.423076923,1,1,1,1,1,1,1,1,0.5,0.1109128,0.026209472,,,,,,
2020-12-15 - 2020-12-21,0.501226241,0.570891313,0.836956522,0.674757281,0.852491367,0.563548309,0.916754478,0.479299653,0.013684482,5.97E-06,0.000514286,0,1,0.423076923,1,1,1,1,1,1,1,1,0.5,0.1109128,0.026209472,1,,,,,
2020-12-22 - 2020-12-28,0.36695279,0.20440015,0.684782609,0.529126214,0.706462753,0.431103798,0.832455216,0.332628123,0.011315798,0,0.001557143,0,1,0.423076923,1,1,1,1,1,1,1,1,0.5,0.1109128,0.026209472,1,,,,,
2020-12-29 - 2021-01-04,0.301961987,0.162843174,0.391304348,0.536407767,0.66551554,0.440434563,0.788198103,0.306255699,0.024528789,1.19E-05,0.002557143,0,1,0.39010989,1,1,1,1,1,1,1,1,0.5,0.136409995,0.022125636,1,,,,,
2021-01-05 - 2021-01-11,0.356223176,0.401278676,0.467391304,0.468446602,0.550567341,0.431047701,0.724973656,0.403902973,0.071599367,0.007165828,0.0058,0.000514286,1,0.365384615,1,1,1,1,1,1,1,1,0.5,0.155532891,0.01906276,,,,,,
2021-01-12 - 2021-01-18,0.363274065,0.193117713,0.380434783,0.317961165,0.376418352,0.323173582,0.741833509,0.404486595,0.107163304,0.005996384,0.0112,0.001542857,1,0.365384615,1,1,1,1,1,1,1,1,0.5,0.155532891,0.01906276,,,,,,
2021-01-19 - 2021-01-25,0.363274065,0.131816472,0.336956522,0.361650485,0.395658609,0.381065465,0.723919916,0.393981397,0.106467293,0.012875818,0.0191,0.002485714,1,0.365384615,1,1,1,1,1,1,1,1,0.5,0.155532891,0.01906276,,,,,,
2021-01-26 - 2021-02-01,0.256284488,0.163031215,0.239130435,0.36407767,0.308830784,0.401447297,0.58061117,0.383111435,0.049888301,0.034910293,0.0241,0.005642857,1,0.332417583,1,1,1,1,1,1,1,1,0.5,0.146536024,0.017214616,,,,,,
2021-02-02 - 2021-02-08,0.181177192,0.421963144,0.282608696,0.300970874,0.307350765,0.327810916,0.439409905,0.36250228,0.012281234,0.035972339,0.025285714,0.009514286,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-02-09 - 2021-02-15,0.179031269,0.094020308,0.184782609,0.216019417,0.254070054,0.182987715,0.371970495,0.340142258,0.010204425,0.032225345,0.026114286,0.014285714,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-02-16 - 2021-02-22,0.17933783,0.180142911,0.119565217,0.298543689,0.228909719,0.143682567,0.390937829,0.374320627,0.044634538,0.031658522,0.027228571,0.018157143,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-02-23 - 2021-03-01,0.120835888,0.079635201,0.164855073,0.257686084,0.218138464,0.138767865,0.281700035,0.388023588,0.123491508,0.024140667,0.033216667,0.021416667,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-04-01 - 2021-04-07,0.188841202,0.136141407,0.108695652,0.25,0.225456339,0.154752333,0.339304531,0.395987598,0.489632798,0.0362468,0.131185714,0.049857143,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.958333333,0,0,0.041666667,0,0
2021-04-08 - 2021-04-14,0.27345187,0.104550583,0.076086957,0.269417476,0.193389245,0.163914808,0.407797682,0.540178734,0.653812908,0.009904476,0.169171429,0.052057143,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.88878,0,0,0.11122,0,0
2021-04-15 - 2021-04-21,0.363274065,0.213238059,0.130434783,0.286407767,0.202762703,0.194711943,0.410958904,0.669998176,0.794003076,0.013192045,0.214157143,0.0534,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.90844,0,0.00538,0.08618,0,0
2021-04-22 - 2021-04-28,0.475475169,0.205716435,0.097826087,0.351941747,0.238283177,0.220983938,0.511064278,0.758343972,0.835415755,0.021443786,0.271814286,0.0553,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.82406,0,0.01166,0.16426,0,0
2021-04-29 - 2021-05-05,0.621091355,0.300112824,0.152173913,0.495145631,0.310804144,0.279698573,0.578503688,0.802334488,0.62743183,0.014886546,0.315685714,0.057614286,1,0.222527473,1,1,1,1,1,1,1,1,0.5,0.103045094,0.021715169,0.73294,0.00254,0.01058,0.25394,0,0
2021-05-06 - 2021-05-12,1,0.440203084,0.141304348,0.766990291,0.402565368,0.368892462,0.812434141,1,0.941097228,0.038693087,0.365542857,0.061185714,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.43136,-0.0008,0.0066,0.56282,0,0
2021-05-13 - 2021-05-19,0.984978541,0.51523129,0.206521739,1,0.503700049,0.43996709,0.919915701,0.841583075,0.94781037,0.049170351,0.428885714,0.066257143,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.46182,0.00422,0.01216,0.50394,0.0119,0.010425
2021-05-20 - 2021-05-26,0.826486818,0.512410681,0.217391304,0.927184466,0.635421806,0.475438957,1,0.745504286,1,0.075381412,0.490928571,0.074085714,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.38628,0.00118,0.01368,0.59886,0,0
2021-05-27 - 2021-06-02,0.694972409,0.454682211,0.326086957,0.900485437,0.645781944,0.448774285,0.869336143,0.68356739,0.70535143,0.18393685,0.547185714,0.090771429,1,0.233516483,1,1,1,1,1,1,1,1,0.5,0.071671402,0.024853055,0.55894,0.00258,0.01072,0.42776,0,0
2021-06-03 - 2021-06-09,0.525137952,0.414441519,0.27173913,0.822815534,0.625061667,0.404663513,0.845100105,0.524129127,0.59058813,0.268124892,0.587971429,0.118885714,1,0.288461538,1,1,1,1,1,1,1,1,0.5,0.027112018,0.028499336,-0.092,0.001675,0.03635,1.00225,0.028,0.0238
2021-06-10 - 2021-06-16,0.385652974,0.39338097,0.25,0.735436893,0.503206709,0.315376129,0.744994731,0.450921029,0.336252091,0.471548499,0.616557143,0.164057143,1,0.288461538,1,1,1,1,1,1,1,1,1,0.027112018,0.028499336,0.46198,0.00534,0.03098,0.47508,0.00298,0.02366
2021-06-17 - 2021-06-23,0.236358063,0.254795036,0.163043478,0.660194175,0.343857918,0.219338432,0.550052687,0.385664782,0.190909193,0.728348876,0.631457143,0.2353,1,0.288461538,1,1,1,1,1,1,1,1,1,0.027112018,0.028499336,0.48484,0.02928,0.04462,0.33086,0.00088,0.10954
2021-06-24 - 2021-06-30,0.167075414,0.199135013,0.130434783,0.52184466,0.243216576,0.163297743,0.441517387,0.306766369,0.279594517,1,0.646557143,0.348028571,0.5,0.288461538,0.666666667,0.666666667,0,0.666666667,0.333333333,0.666666667,1,1,1,0.027112018,0.028499336,0.62696,0.009,0.00644,0.2392,0,0.11838
2021-07-01 - 2021-07-07,0.123237278,0.084430237,0.097826087,0.373786408,0.201282684,0.120028422,0.409905163,0.253219041,0.201933116,0.667812244,0.662428571,0.448942857,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.5162,0.001425,0.015775,0.252125,0,0.214475
2021-07-08 - 2021-07-14,0.108828939,0.067882663,0.043478261,0.276699029,0.16872225,0.123768208,0.319283456,0.289257706,0.166346726,0.375111127,0.674471429,0.509357143,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.34206,0,0.04864,0.5171,0,0.09218
2021-07-15 - 2021-07-21,0.088289393,0.135013163,0.076086957,0.223300971,0.125308337,0.11292283,0.233930453,0.294109064,0.143052796,0.296597276,0.684714286,0.549657143,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,-0.07672,0,0.0039,0.78638,0,0.28648
2021-07-22 - 2021-07-28,0.071122011,0.045317789,0.065217391,0.17961165,0.11149482,0.068531573,0.192834563,0.301076053,0.156894442,0.349192427,0.693885714,0.587071429,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.07072,0,0,0.7999,0,0.12936
2021-07-29 - 2021-08-01,0.064684243,0.036855961,0.101449275,0.181229774,0.107054761,0.068674932,0.161222339,0.29193264,0.170706152,0.410655863,0.701466667,0.619,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.32525,0,0,0.5644,0,0.11035
